#beta	transition energy [Ry]	dipole strength	initial state energy [Ry]
2e-07	0.095486	0.0456396	-0.111112
5.75e-05	0.095384	0.0456396	-0.111341
0.0001075	0.095315	0.0456396	-0.111541
0.0001175	0.095302	0.0457327	-0.11158
0.0001275	0.095291	0.0458335	-0.11162
0.0001375	0.095281	0.0459418	-0.11166
0.0001475	0.095272	0.0460576	-0.1117
0.0001575	0.095262	0.0461809	-0.111739
0.0001675	0.095254	0.0463114	-0.111779
0.0001775	0.095247	0.0464502	-0.111819
0.0001875	0.09524	0.0465961	-0.111858
0.0001975	0.095234	0.0467489	-0.111898
0.0002075	0.095229	0.0469086	-0.111938
0.0002175	0.095224	0.047075	-0.111978
0.0002275	0.095221	0.0472479	-0.112018
0.0002375	0.095216	0.0474273	-0.112057
0.0002475	0.095214	0.047613	-0.112097
0.0002575	0.095212	0.047806	-0.112137
0.0002675	0.09521	0.0480051	-0.112176
0.0002775	0.095209	0.04821	-0.112215
0.0002875	0.095209	0.0484207	-0.112255
0.0002975	0.09521	0.0486371	-0.112295
0.0003075	0.09521	0.0488588	-0.112334
0.0003175	0.095213	0.049086	-0.112374
0.0003275	0.095214	0.0493183	-0.112413
0.0003375	0.095216	0.0495568	-0.112452
0.0003475	0.09522	0.0498003	-0.112492
0.0003575	0.095224	0.0500485	-0.112531
0.0003675	0.095229	0.0503013	-0.112571
0.0003775	0.095235	0.0505586	-0.112611
0.0003875	0.09524	0.0508203	-0.11265
0.0003975	0.095246	0.0510861	-0.112689
0.0004075	0.095253	0.051356	-0.112729
0.0004175	0.09526	0.051631	-0.112768
0.0004275	0.095268	0.0519099	-0.112808
0.0004375	0.095276	0.0521924	-0.112847
0.0004475	0.095286	0.0524783	-0.112887
0.0004575	0.095295	0.0527677	-0.112926
0.0004675	0.095304	0.0530602	-0.112965
0.0004775	0.095315	0.0533559	-0.113005
0.0004875	0.095326	0.0536546	-0.113044
0.0004975	0.095337	0.0539573	-0.113083
0.0005075	0.095349	0.0542628	-0.113123
0.0005175	0.095361	0.0545709	-0.113162
0.0005275	0.095373	0.0548815	-0.113201
0.0005375	0.095386	0.0551943	-0.11324
0.0005475	0.0954	0.0555095	-0.11328
0.0005575	0.095414	0.0558267	-0.113319
0.0005675	0.095428	0.0561459	-0.113358
0.0005775	0.095443	0.0564682	-0.113397
0.0005875	0.095457	0.0567924	-0.113436
0.0005975	0.095473	0.057118	-0.113475
0.0006075	0.095489	0.0574453	-0.113514
0.0006175	0.095506	0.0577739	-0.113554
0.0006275	0.095523	0.0581038	-0.113593
0.0006375	0.095539	0.0584349	-0.113632
